year;country;word;frequency;count;%_headlines;word_len;freq_rank;hfreq_rank;theme
2013;India;girlfriend;6;4910;0.1221996;10;27;27;female stereotypes
2014;India;girlfriend;14;7502;0.1866169;10;27;27;female stereotypes
2015;India;girlfriend;24;10532;0.2278769;10;27;27;female stereotypes
2016;India;girlfriend;40;14012;0.2854696;10;27;27;female stereotypes
2017;India;girlfriend;35;17097;0.2047143;10;27;27;female stereotypes
2018;India;girlfriend;35;19170;0.1825769;10;27;27;female stereotypes
2019;India;girlfriend;41;20849;0.1966521;10;27;27;female stereotypes
2020;India;girlfriend;49;21942;0.223316;10;27;27;female stereotypes
2021;India;girlfriend;47;12622;0.3723657;10;27;27;female stereotypes
2011;India;founder;2;2438;0.0820345;7;30;30;empowerment
2012;India;founder;4;3634;0.1100715;7;30;30;empowerment
2013;India;founder;8;4910;0.1629328;7;30;30;empowerment
2014;India;founder;10;7502;0.1332978;7;30;30;empowerment
2015;India;founder;24;10532;0.2278769;7;30;30;empowerment
2016;India;founder;32;14012;0.2283757;7;30;30;empowerment
2017;India;founder;48;17097;0.280751;7;30;30;empowerment
2018;India;founder;56;19170;0.2921231;7;30;30;empowerment
2019;India;founder;54;20849;0.2590052;7;30;30;empowerment
2020;India;founder;76;21942;0.3463677;7;30;30;empowerment
2021;India;founder;45;12622;0.3565204;7;30;30;empowerment
2011;India;strong;2;2438;0.0820345;6;59;59;empowerment
2012;India;strong;6;3634;0.1651073;6;59;59;empowerment
2013;India;strong;8;4910;0.1629328;6;59;59;empowerment
2014;India;strong;17;7502;0.2266062;6;59;59;empowerment
2015;India;strong;16;10532;0.151918;6;59;59;empowerment
2016;India;strong;31;14012;0.2212389;6;59;59;empowerment
2017;India;strong;54;17097;0.3158449;6;59;59;empowerment
2018;India;strong;51;19170;0.2660407;6;59;59;empowerment
2019;India;strong;51;20849;0.244616;6;59;59;empowerment
2020;India;strong;53;21942;0.2415459;6;59;59;empowerment
2021;India;strong;28;12622;0.2218349;6;59;59;empowerment
2011;India;abduct;4;2438;0.1640689;6;63;63;crime and violence
2012;India;abduct;4;3634;0.1100715;6;63;63;crime and violence
2013;India;abduct;5;4910;0.101833;6;63;63;crime and violence
2014;India;abduct;8;7502;0.1066382;6;63;63;crime and violence
2015;India;abduct;6;10532;0.0569692;6;63;63;crime and violence
2016;India;abduct;34;14012;0.2426492;6;63;63;crime and violence
2017;India;abduct;24;17097;0.1403755;6;63;63;crime and violence
2018;India;abduct;28;19170;0.1460616;6;63;63;crime and violence
2019;India;abduct;43;20849;0.2062449;6;63;63;crime and violence
2020;India;abduct;39;21942;0.17774129999999;6;63;63;crime and violence
2021;India;abduct;26;12622;0.2059895;6;63;63;crime and violence
2011;India;equality;5;2438;0.2050861;8;76;76;empowerment
2012;India;equality;4;3634;0.1100715;8;76;76;empowerment
2013;India;equality;9;4910;0.1832994;8;76;76;empowerment
2014;India;equality;18;7502;0.239936;8;76;76;empowerment
2015;India;equality;27;10532;0.2563616;8;76;76;empowerment
2016;India;equality;29;14012;0.2069655;8;76;76;empowerment
2017;India;equality;36;17097;0.2105633;8;76;76;empowerment
2018;India;equality;44;19170;0.2295253;8;76;76;empowerment
2019;India;equality;59;20849;0.2829872;8;76;76;empowerment
2020;India;equality;45;21942;0.2050861;8;76;76;empowerment
2021;India;equality;22;12622;0.17429879999999;8;76;76;empowerment
2011;India;elect;1;2438;0.0410172;5;89;89;empowerment
2012;India;elect;4;3634;0.1100715;5;89;89;empowerment
2013;India;elect;2;4910;0.0407332;5;89;89;empowerment
2014;India;elect;8;7502;0.1066382;5;89;89;empowerment
2015;India;elect;17;10532;0.16141279999999;5;89;89;empowerment
2016;India;elect;27;14012;0.192692;5;89;89;empowerment
2017;India;elect;20;17097;0.1169796;5;89;89;empowerment
2018;India;elect;33;19170;0.172144;5;89;89;empowerment
2019;India;elect;26;20849;0.1247062;5;89;89;empowerment
2020;India;elect;71;21942;0.3235803;5;89;89;empowerment
2021;India;elect;18;12622;0.1426081;5;89;89;empowerment
2011;India;fighter;5;2438;0.2050861;7;90;90;empowerment
2012;India;fighter;3;3634;0.0825537;7;90;90;empowerment
2013;India;fighter;3;4910;0.0610998;7;90;90;empowerment
2014;India;fighter;15;7502;0.1999467;7;90;90;empowerment
2015;India;fighter;39;10532;0.3703;7;90;90;empowerment
2016;India;fighter;55;14012;0.3925207;7;90;90;empowerment
2017;India;fighter;32;17097;0.1871673;7;90;90;empowerment
2018;India;fighter;56;19170;0.2921231;7;90;90;empowerment
2019;India;fighter;42;20849;0.2014485;7;90;90;empowerment
2020;India;fighter;32;21942;0.145839;7;90;90;empowerment
2021;India;fighter;18;12622;0.1426081;7;90;90;empowerment
2017;India;metoo;31;17097;0.1813184;5;97;97;empowerment
2018;India;metoo;281;19170;1.465832;5;97;97;empowerment
2019;India;metoo;53;20849;0.2542088;5;97;97;empowerment
2020;India;metoo;24;21942;0.1093793;5;97;97;empowerment
2021;India;metoo;16;12622;0.1267628;5;97;97;empowerment
2011;India;temple;3;2438;0.1230517;6;99;99;race, ethnicity and identity
2012;India;temple;2;3634;0.0550358;6;99;99;race, ethnicity and identity
2013;India;temple;8;4910;0.1629328;6;99;99;race, ethnicity and identity
2014;India;temple;9;7502;0.119968;6;99;99;race, ethnicity and identity
2015;India;temple;24;10532;0.2278769;6;99;99;race, ethnicity and identity
2016;India;temple;95;14012;0.6779903;6;99;99;race, ethnicity and identity
2017;India;temple;32;17097;0.1871673;6;99;99;race, ethnicity and identity
2018;India;temple;113;19170;0.5894627;6;99;99;race, ethnicity and identity
2019;India;temple;88;20849;0.4220826;6;99;99;race, ethnicity and identity
2020;India;temple;30;21942;0.1367241;6;99;99;race, ethnicity and identity
2021;India;temple;16;12622;0.1267628;6;99;99;race, ethnicity and identity
2012;India;racist;4;3634;0.1100715;6;105;105;crime and violence
2013;India;racist;9;4910;0.1832994;6;105;105;crime and violence
2014;India;racist;3;7502;0.0399893;6;105;105;crime and violence
2015;India;racist;11;10532;0.1044436;6;105;105;crime and violence
2016;India;racist;5;14012;0.0356837;6;105;105;crime and violence
2017;India;racist;21;17097;0.1228286;6;105;105;crime and violence
2018;India;racist;26;19170;0.1356286;6;105;105;crime and violence
2019;India;racist;26;20849;0.1247062;6;105;105;crime and violence
2020;India;racist;51;21942;0.232431;6;105;105;crime and violence
2021;India;racist;15;12622;0.1188401;6;105;105;crime and violence
2011;India;writer;5;2438;0.2050861;6;109;109;empowerment
2012;India;writer;4;3634;0.1100715;6;109;109;empowerment
2013;India;writer;10;4910;0.203666;6;109;109;empowerment
2014;India;writer;12;7502;0.1599573;6;109;109;empowerment
2015;India;writer;25;10532;0.2373718;6;109;109;empowerment
2016;India;writer;31;14012;0.2212389;6;109;109;empowerment
2017;India;writer;26;17097;0.1520735;6;109;109;empowerment
2018;India;writer;42;19170;0.2190923;6;109;109;empowerment
2019;India;writer;46;20849;0.2206341;6;109;109;empowerment
2020;India;writer;42;21942;0.1914137;6;109;109;empowerment
2021;India;writer;14;12622;0.1109174;6;109;109;empowerment
2011;India;makeup;3;2438;0.1230517;6;124;124;female stereotypes
2012;India;makeup;1;3634;0.0275179;6;124;124;female stereotypes
2013;India;makeup;1;4910;0.0203666;6;124;124;female stereotypes
2014;India;makeup;12;7502;0.1599573;6;124;124;female stereotypes
2015;India;makeup;22;10532;0.2088872;6;124;124;female stereotypes
2016;India;makeup;42;14012;0.2997431;6;124;124;female stereotypes
2017;India;makeup;20;17097;0.1169796;6;124;124;female stereotypes
2018;India;makeup;32;19170;0.1669275;6;124;124;female stereotypes
2019;India;makeup;31;20849;0.1486882;6;124;124;female stereotypes
2020;India;makeup;26;21942;0.1184942;6;124;124;female stereotypes
2021;India;makeup;10;12622;0.07922669999999;6;124;124;female stereotypes
2011;India;nigerian;3;2438;0.1230517;8;169;169;race, ethnicity and identity
2012;India;nigerian;4;3634;0.1100715;8;169;169;race, ethnicity and identity
2013;India;nigerian;1;4910;0.0203666;8;169;169;race, ethnicity and identity
2014;India;nigerian;9;7502;0.119968;8;169;169;race, ethnicity and identity
2015;India;nigerian;8;10532;0.075959;8;169;169;race, ethnicity and identity
2016;India;nigerian;9;14012;0.0642307;8;169;169;race, ethnicity and identity
2017;India;nigerian;11;17097;0.0643388;8;169;169;race, ethnicity and identity
2018;India;nigerian;12;19170;0.0625978;8;169;169;race, ethnicity and identity
2019;India;nigerian;8;20849;0.0383711;8;169;169;race, ethnicity and identity
2020;India;nigerian;4;21942;0.0182299;8;169;169;race, ethnicity and identity
2021;India;nigerian;4;12622;0.0316907;8;169;169;race, ethnicity and identity
2012;India;witchcraft;1;3634;0.0275179;10;174;174;female stereotypes
2014;India;witchcraft;4;7502;0.0533191;10;174;174;female stereotypes
2015;India;witchcraft;4;10532;0.0379795;10;174;174;female stereotypes
2016;India;witchcraft;4;14012;0.028547;10;174;174;female stereotypes
2017;India;witchcraft;3;17097;0.0175469;10;174;174;female stereotypes
2018;India;witchcraft;5;19170;0.0260824;10;174;174;female stereotypes
2019;India;witchcraft;4;20849;0.0191856;10;174;174;female stereotypes
2020;India;witchcraft;6;21942;0.0273448;10;174;174;female stereotypes
2021;India;witchcraft;4;12622;0.0316907;10;174;174;female stereotypes
2011;India;housewife;2;2438;0.0820345;9;176;176;female stereotypes
2012;India;housewife;2;3634;0.0550358;9;176;176;female stereotypes
2013;India;housewife;4;4910;0.0814664;9;176;176;female stereotypes
2014;India;housewife;5;7502;0.06664889999999;9;176;176;female stereotypes
2015;India;housewife;5;10532;0.0474744;9;176;176;female stereotypes
2016;India;housewife;9;14012;0.0642307;9;176;176;female stereotypes
2017;India;housewife;8;17097;0.0467918;9;176;176;female stereotypes
2018;India;housewife;4;19170;0.0208659;9;176;176;female stereotypes
2019;India;housewife;2;20849;0.00959;9;176;176;female stereotypes
2020;India;housewife;6;21942;0.0273448;9;176;176;female stereotypes
2021;India;housewife;3;12622;0.023768;9;176;176;female stereotypes
2012;India;testify;2;3634;0.0550358;7;195;196;crime and violence
2013;India;testify;4;4910;0.0814664;7;195;196;crime and violence
2014;India;testify;2;7502;0.0266596;7;195;196;crime and violence
2015;India;testify;3;10532;0.0284846;7;195;196;crime and violence
2016;India;testify;4;14012;0.028547;7;195;196;crime and violence
2017;India;testify;6;17097;0.0350939;7;195;196;crime and violence
2018;India;testify;6;19170;0.0312989;7;195;196;crime and violence
2019;India;testify;4;20849;0.0191856;7;195;196;crime and violence
2020;India;testify;5;21942;0.0227873;7;195;196;crime and violence
2021;India;testify;2;12622;0.0158453;7;195;196;crime and violence
2012;India;vagina;2;3634;0.0550358;6;196;197;female stereotypes
2013;India;vagina;2;4910;0.0407332;6;196;197;female stereotypes
2014;India;vagina;4;7502;0.0533191;6;196;197;female stereotypes
2015;India;vagina;5;10532;0.0474744;6;196;197;female stereotypes
2016;India;vagina;10;14012;0.0713674;6;196;197;female stereotypes
2017;India;vagina;6;17097;0.0350939;6;196;197;female stereotypes
2018;India;vagina;15;19170;0.0782473;6;196;197;female stereotypes
2019;India;vagina;6;20849;0.0287784;6;196;197;female stereotypes
2020;India;vagina;8;21942;0.0364598;6;196;197;female stereotypes
2021;India;vagina;2;12622;0.0158453;6;196;197;female stereotypes
2010;India;activist;1;1584;0.0631313;8;215;208;empowerment
2011;India;activist;1;2438;0.0410172;8;215;208;empowerment
2012;India;activist;2;3634;0.0550358;8;215;208;empowerment
2013;India;activist;16;4910;0.3258656;8;215;208;empowerment
2014;India;activist;17;7502;0.2266062;8;215;208;empowerment
2015;India;activist;31;10532;0.2943411;8;215;208;empowerment
2016;India;activist;61;14012;0.4353411;8;215;208;empowerment
2017;India;activist;43;17097;0.2515061;8;215;208;empowerment
2018;India;activist;77;19170;0.4016693;8;215;208;empowerment
2019;India;activist;69;20849;0.3309511;8;215;208;empowerment
2020;India;activist;73;21942;0.3326953;8;215;208;empowerment
2021;India;activist;73;12622;0.5783553;8;215;208;empowerment
2010;India;empower;1;1584;0.0631313;7;216;209;empowerment
2011;India;empower;4;2438;0.1640689;7;216;209;empowerment
2012;India;empower;6;3634;0.1651073;7;216;209;empowerment
2013;India;empower;8;4910;0.1629328;7;216;209;empowerment
2014;India;empower;15;7502;0.1999467;7;216;209;empowerment
2015;India;empower;29;10532;0.2753513;7;216;209;empowerment
2016;India;empower;38;14012;0.2711961;7;216;209;empowerment
2017;India;empower;77;17097;0.4503714;7;216;209;empowerment
2018;India;empower;72;19170;0.3755869;7;216;209;empowerment
2019;India;empower;67;20849;0.3213583;7;216;209;empowerment
2020;India;empower;69;21942;0.3144654;7;216;209;empowerment
2021;India;empower;72;12622;0.5704326;7;216;209;empowerment
2010;India;support;2;1584;0.1262626;7;220;213;female stereotypes
2011;India;support;2;2438;0.0820345;7;220;213;female stereotypes
2012;India;support;9;3634;0.247661;7;220;213;female stereotypes
2013;India;support;9;4910;0.1832994;7;220;213;female stereotypes
2014;India;support;24;7502;0.3199147;7;220;213;female stereotypes
2015;India;support;42;10532;0.3987847;7;220;213;female stereotypes
2016;India;support;54;14012;0.385384;7;220;213;female stereotypes
2017;India;support;59;17097;0.3450898;7;220;213;female stereotypes
2018;India;support;83;19170;0.4329682;7;220;213;female stereotypes
2019;India;support;115;20849;0.5515852;7;220;213;female stereotypes
2020;India;support;120;21942;0.5468964;7;220;213;female stereotypes
2021;India;support;128;12622;1.0141024;7;220;213;female stereotypes
2010;India;threaten;1;1584;0.0631313;8;225;225;crime and violence
2011;India;threaten;4;2438;0.1640689;8;225;225;crime and violence
2012;India;threaten;8;3634;0.2201431;8;225;225;crime and violence
2013;India;threaten;9;4910;0.1832994;8;225;225;crime and violence
2014;India;threaten;12;7502;0.1599573;8;225;225;crime and violence
2015;India;threaten;17;10532;0.16141279999999;8;225;225;crime and violence
2016;India;threaten;31;14012;0.2212389;8;225;225;crime and violence
2017;India;threaten;49;17097;0.2866;8;225;225;crime and violence
2018;India;threaten;63;19170;0.3286385;8;225;225;crime and violence
2019;India;threaten;72;20849;0.3453403;8;225;225;crime and violence
2020;India;threaten;66;21942;0.300793;8;225;225;crime and violence
2021;India;threaten;61;12622;0.4832832;8;225;225;crime and violence
2010;India;hindu;1;1584;0.0631313;5;227;227;race, ethnicity and identity
2011;India;hindu;4;2438;0.1640689;5;227;227;race, ethnicity and identity
2012;India;hindu;5;3634;0.1375894;5;227;227;race, ethnicity and identity
2013;India;hindu;4;4910;0.0814664;5;227;227;race, ethnicity and identity
2014;India;hindu;9;7502;0.119968;5;227;227;race, ethnicity and identity
2015;India;hindu;26;10532;0.2468667;5;227;227;race, ethnicity and identity
2016;India;hindu;41;14012;0.2926063;5;227;227;race, ethnicity and identity
2017;India;hindu;64;17097;0.3743347;5;227;227;race, ethnicity and identity
2018;India;hindu;84;19170;0.4381847;5;227;227;race, ethnicity and identity
2019;India;hindu;118;20849;0.5659744;5;227;227;race, ethnicity and identity
2020;India;hindu;136;21942;0.6198159;5;227;227;race, ethnicity and identity
2021;India;hindu;60;12622;0.4753605;5;227;227;race, ethnicity and identity
2010;India;gender;2;1584;0.1262626;6;228;228;race, ethnicity and identity
2011;India;gender;8;2438;0.3281378;6;228;228;race, ethnicity and identity
2012;India;gender;14;3634;0.3852504;6;228;228;race, ethnicity and identity
2013;India;gender;20;4910;0.407332;6;228;228;race, ethnicity and identity
2014;India;gender;64;7502;0.8531058;6;228;228;race, ethnicity and identity
2015;India;gender;66;10532;0.6266616;6;228;228;race, ethnicity and identity
2016;India;gender;118;14012;0.8421353;6;228;228;race, ethnicity and identity
2017;India;gender;119;17097;0.6960285;6;228;228;race, ethnicity and identity
2018;India;gender;153;19170;0.7981221;6;228;228;race, ethnicity and identity
2019;India;gender;192;20849;0.9209075;6;228;228;race, ethnicity and identity
2020;India;gender;182;21942;0.8294595;6;228;228;race, ethnicity and identity
2021;India;gender;112;12622;0.8873396;6;228;228;race, ethnicity and identity
2010;India;pilot;1;1584;0.0631313;5;230;230;empowerment
2011;India;pilot;6;2438;0.2461034;5;230;230;empowerment
2012;India;pilot;7;3634;0.1926252;5;230;230;empowerment
2013;India;pilot;13;4910;0.2647658;5;230;230;empowerment
2014;India;pilot;16;7502;0.2132765;5;230;230;empowerment
2015;India;pilot;33;10532;0.3133308;5;230;230;empowerment
2016;India;pilot;72;14012;0.5138453;5;230;230;empowerment
2017;India;pilot;63;17097;0.3684857;5;230;230;empowerment
2018;India;pilot;82;19170;0.4277517;5;230;230;empowerment
2019;India;pilot;99;20849;0.4748429;5;230;230;empowerment
2020;India;pilot;81;21942;0.369155;5;230;230;empowerment
2021;India;pilot;54;12622;0.4278244;5;230;230;empowerment
2010;India;transgender;1;1584;0.0631313;11;239;240;race, ethnicity and identity
2011;India;transgender;5;2438;0.2050861;11;239;240;race, ethnicity and identity
2012;India;transgender;4;3634;0.1100715;11;239;240;race, ethnicity and identity
2013;India;transgender;13;4910;0.2647658;11;239;240;race, ethnicity and identity
2014;India;transgender;14;7502;0.1866169;11;239;240;race, ethnicity and identity
2015;India;transgender;56;10532;0.5317129;11;239;240;race, ethnicity and identity
2016;India;transgender;65;14012;0.4638881;11;239;240;race, ethnicity and identity
2017;India;transgender;76;17097;0.4445224;11;239;240;race, ethnicity and identity
2018;India;transgender;74;19170;0.3860198;11;239;240;race, ethnicity and identity
2019;India;transgender;97;20849;0.4652501;11;239;240;race, ethnicity and identity
2020;India;transgender;50;21942;0.2278735;11;239;240;race, ethnicity and identity
2021;India;transgender;45;12622;0.3565204;11;239;240;race, ethnicity and identity
2010;India;oscar;1;1584;0.0631313;5;246;246;empowerment
2011;India;oscar;2;2438;0.0820345;5;246;246;empowerment
2012;India;oscar;3;3634;0.0825537;5;246;246;empowerment
2013;India;oscar;4;4910;0.0814664;5;246;246;empowerment
2014;India;oscar;9;7502;0.119968;5;246;246;empowerment
2015;India;oscar;25;10532;0.2373718;5;246;246;empowerment
2016;India;oscar;27;14012;0.192692;5;246;246;empowerment
2017;India;oscar;30;17097;0.1754694;5;246;246;empowerment
2018;India;oscar;26;19170;0.1356286;5;246;246;empowerment
2019;India;oscar;44;20849;0.2110413;5;246;246;empowerment
2020;India;oscar;34;21942;0.154954;5;246;246;empowerment
2021;India;oscar;42;12622;0.3327523;5;246;246;empowerment
2010;India;worth;1;1584;0.0631313;5;258;258;empowerment
2011;India;worth;6;2438;0.2461034;5;258;258;empowerment
2012;India;worth;6;3634;0.1651073;5;258;258;empowerment
2013;India;worth;6;4910;0.1221996;5;258;258;empowerment
2014;India;worth;6;7502;0.07997869999999;5;258;258;empowerment
2015;India;worth;14;10532;0.1329282;5;258;258;empowerment
2016;India;worth;24;14012;0.17128179999999;5;258;258;empowerment
2017;India;worth;25;17097;0.1462245;5;258;258;empowerment
2018;India;worth;36;19170;0.1877934;5;258;258;empowerment
2019;India;worth;44;20849;0.2110413;5;258;258;empowerment
2020;India;worth;50;21942;0.2278735;5;258;258;empowerment
2021;India;worth;38;12622;0.3010616;5;258;258;empowerment
2010;India;violence;3;1584;0.1893939;8;261;261;crime and violence
2011;India;violence;3;2438;0.1230517;8;261;261;crime and violence
2012;India;violence;13;3634;0.3577325;8;261;261;crime and violence
2013;India;violence;38;4910;0.7739308;8;261;261;crime and violence
2014;India;violence;50;7502;0.6664889;8;261;261;crime and violence
2015;India;violence;50;10532;0.4747436;8;261;261;crime and violence
2016;India;violence;59;14012;0.4210677;8;261;261;crime and violence
2017;India;violence;68;17097;0.3977306;8;261;261;crime and violence
2018;India;violence;82;19170;0.4277517;8;261;261;crime and violence
2019;India;violence;97;20849;0.4652501;8;261;261;crime and violence
2020;India;violence;155;21942;0.7064078;8;261;261;crime and violence
2021;India;violence;108;12622;0.8556489;8;261;261;crime and violence
2010;India;director;2;1584;0.1262626;8;262;262;empowerment
2011;India;director;5;2438;0.2050861;8;262;262;empowerment
2012;India;director;7;3634;0.1926252;8;262;262;empowerment
2013;India;director;13;4910;0.2647658;8;262;262;empowerment
2014;India;director;30;7502;0.3998934;8;262;262;empowerment
2015;India;director;49;10532;0.4652488;8;262;262;empowerment
2016;India;director;58;14012;0.4139309;8;262;262;empowerment
2017;India;director;74;17097;0.4328245;8;262;262;empowerment
2018;India;director;105;19170;0.5477308;8;262;262;empowerment
2019;India;director;93;20849;0.4460646;8;262;262;empowerment
2020;India;director;89;21942;0.4056148;8;262;262;empowerment
2021;India;director;71;12622;0.5625099;8;262;262;empowerment
2010;India;leader;4;1584;0.2525253;6;268;268;empowerment
2011;India;leader;6;2438;0.2461034;6;268;268;empowerment
2012;India;leader;14;3634;0.3852504;6;268;268;empowerment
2013;India;leader;29;4910;0.5906314;6;268;268;empowerment
2014;India;leader;44;7502;0.5865103;6;268;268;empowerment
2015;India;leader;63;10532;0.598177;6;268;268;empowerment
2016;India;leader;83;14012;0.5923494;6;268;268;empowerment
2017;India;leader;99;17097;0.579049;6;268;268;empowerment
2018;India;leader;149;19170;0.7772561;6;268;268;empowerment
2019;India;leader;175;20849;0.8393688;6;268;268;empowerment
2020;India;leader;228;21942;1.0391031;6;268;268;empowerment
2021;India;leader;132;12622;1.0457931;6;268;268;empowerment
2010;India;black;6;1584;0.3787879;5;274;274;race, ethnicity and identity
2011;India;black;16;2438;0.6562756;5;274;274;race, ethnicity and identity
2012;India;black;21;3634;0.5778756;5;274;274;race, ethnicity and identity
2013;India;black;27;4910;0.5498982;5;274;274;race, ethnicity and identity
2014;India;black;38;7502;0.50653159999999;5;274;274;race, ethnicity and identity
2015;India;black;67;10532;0.6361565;5;274;274;race, ethnicity and identity
2016;India;black;85;14012;0.6066229;5;274;274;race, ethnicity and identity
2017;India;black;94;17097;0.5498041;5;274;274;race, ethnicity and identity
2018;India;black;191;19170;0.9963485;5;274;274;race, ethnicity and identity
2019;India;black;177;20849;0.8489616;5;274;274;race, ethnicity and identity
2020;India;black;391;21942;1.7819706;5;274;274;race, ethnicity and identity
2021;India;black;194;12622;1.5369989;5;274;274;race, ethnicity and identity
2010;India;gangrape;1;1584;0.0631313;8;283;283;crime and violence
2012;India;gangrape;4;3634;0.1100715;8;283;283;crime and violence
2013;India;gangrape;9;4910;0.1832994;8;283;283;crime and violence
2014;India;gangrape;9;7502;0.119968;8;283;283;crime and violence
2015;India;gangrape;13;10532;0.1234333;8;283;283;crime and violence
2016;India;gangrape;27;14012;0.192692;8;283;283;crime and violence
2017;India;gangrape;49;17097;0.2866;8;283;283;crime and violence
2018;India;gangrape;51;19170;0.2660407;8;283;283;crime and violence
2019;India;gangrape;42;20849;0.2014485;8;283;283;crime and violence
2020;India;gangrape;62;21942;0.2825631;8;283;283;crime and violence
2021;India;gangrape;29;12622;0.2297576;8;283;283;crime and violence
2010;India;protest;3;1584;0.1893939;7;284;284;empowerment
2011;India;protest;4;2438;0.1640689;7;284;284;empowerment
2012;India;protest;7;3634;0.1926252;7;284;284;empowerment
2013;India;protest;17;4910;0.3462322;7;284;284;empowerment
2014;India;protest;24;7502;0.3199147;7;284;284;empowerment
2015;India;protest;31;10532;0.2943411;7;284;284;empowerment
2016;India;protest;57;14012;0.4067942;7;284;284;empowerment
2017;India;protest;72;17097;0.4211265;7;284;284;empowerment
2018;India;protest;122;19170;0.6364111;7;284;284;empowerment
2019;India;protest;127;20849;0.6091419;7;284;284;empowerment
2020;India;protest;227;21942;1.0345456;7;284;284;empowerment
2021;India;protest;84;12622;0.6655047;7;284;284;empowerment
2010;India;emotional;1;1584;0.0631313;9;291;291;female stereotypes
2011;India;emotional;1;2438;0.0410172;9;291;291;female stereotypes
2012;India;emotional;6;3634;0.1651073;9;291;291;female stereotypes
2013;India;emotional;3;4910;0.0610998;9;291;291;female stereotypes
2014;India;emotional;7;7502;0.0933085;9;291;291;female stereotypes
2015;India;emotional;18;10532;0.1709077;9;291;291;female stereotypes
2016;India;emotional;21;14012;0.1498715;9;291;291;female stereotypes
2017;India;emotional;23;17097;0.1345265;9;291;291;female stereotypes
2018;India;emotional;40;19170;0.2086594;9;291;291;female stereotypes
2019;India;emotional;46;20849;0.2206341;9;291;291;female stereotypes
2020;India;emotional;90;21942;0.4101723;9;291;291;female stereotypes
2021;India;emotional;27;12622;0.2139122;9;291;291;female stereotypes
2010;India;appoint;1;1584;0.0631313;7;295;295;empowerment
2011;India;appoint;1;2438;0.0410172;7;295;295;empowerment
2013;India;appoint;7;4910;0.1425662;7;295;295;empowerment
2014;India;appoint;11;7502;0.1466276;7;295;295;empowerment
2015;India;appoint;9;10532;0.0854539;7;295;295;empowerment
2016;India;appoint;12;14012;0.08564089999999;7;295;295;empowerment
2017;India;appoint;25;17097;0.1462245;7;295;295;empowerment
2018;India;appoint;40;19170;0.2086594;7;295;295;empowerment
2019;India;appoint;35;20849;0.1678738;7;295;295;empowerment
2020;India;appoint;47;21942;0.2142011;7;295;295;empowerment
2021;India;appoint;26;12622;0.2059895;7;295;295;empowerment
2010;India;allegedly;3;1584;0.1893939;9;300;300;crime and violence
2011;India;allegedly;5;2438;0.2050861;9;300;300;crime and violence
2012;India;allegedly;16;3634;0.4402862;9;300;300;crime and violence
2013;India;allegedly;23;4910;0.4684318;9;300;300;crime and violence
2014;India;allegedly;28;7502;0.3732338;9;300;300;crime and violence
2015;India;allegedly;51;10532;0.4842385;9;300;300;crime and violence
2016;India;allegedly;96;14012;0.685127;9;300;300;crime and violence
2017;India;allegedly;117;17097;0.6843306;9;300;300;crime and violence
2018;India;allegedly;172;19170;0.8972353;9;300;300;crime and violence
2019;India;allegedly;165;20849;0.7914049;9;300;300;crime and violence
2020;India;allegedly;183;21942;0.834017;9;300;300;crime and violence
2021;India;allegedly;76;12622;0.6021233;9;300;300;crime and violence
2010;India;tribal;1;1584;0.0631313;6;310;310;race, ethnicity and identity
